Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
OCE205-2-100GGC,,0.45,1.37,,1.37,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.45,1.42,,1.42,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.46,1.44,,1.44,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.46,1.2,,1.2,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.46,1.36,,1.36,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.46,1.333,,1.333,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.48,1.39,,1.39,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.48,1.34,,1.34,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.48,1.44,,1.44,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.49,1.27,,1.27,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
